model,task,replicate,metric,value
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,train/loss,0.013356652110815048
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,test/accuracy,0.9513199925422668
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,test/mcc,0.008868277565755525
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,test/loss,0.1432657092809677
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,3,wandb,runtime, 277
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,4,timer/validation,2.0007927417755127
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,4,timestamp,1715387175.8938813
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,4,runtime,272.83419132232666
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,4,step,2186
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,4,timer/step,0.03573751449584961
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,4,trainer/globalstep,5260
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,4,trainer/lr/pg1,2.5431088148421133e-05
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,4,trainer/lr/pg2,2.5431088148421133e-05
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,4,trainer/loss,0.009195144288241863
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,4,trainer/epoch,19.0
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,4,epoch,7
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,4,val/accuracy,0.9488000273704529
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,4,val/mcc,0.897677361563147
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,4,val/loss,0.2618843615055084
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,4,timer/epoch,11.222948789596558
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,4,train/accuracy,0.9964650869369507
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,4,train/mcc,0.9929395799228987
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,4,train/loss,0.013586209155619144
mamba_bpe_4k_d128_4L_lr-8e-5_batch_size-256_rc_aug-true,demo_human_or_worm,4,test/accuracy,0.9528399705886841
